"V3_entity_item.entity","V3_entity_item.item","V3_entity_item.year","V3_entity_item.kg_yr","V3_entity_item.gdp","V3_entity_item.c_kg_val","V3_entity_item.c_gdp_pp_yr","V3_entity_item.c_kg_pp_yr"
"ARGNAT","AVO","2014","3877000","2686838","0.6930000185966492","0.06129999831318855","0.08839999884366989"
"ARGNAT","COW","2014","2821700000","7037021448","2.4939000606536865","160.47940063476562","64.3488998413086"
"ARGNAT","CPE","2014","54508000","26385703","0.48410001397132874","0.6017000079154968","1.2431000471115112"
"ARGNAT","MIL","2014","11009900000","3435760403","0.31209999322891235","78.35260009765625","251.08099365234375"
"ARGNAT","PER","2014","771271000","315319521","0.40880000591278076","7.190899848937988","17.58880043029785"
"ARGNAT","WHT","2014","9315049000","1469747061","0.15780000388622284","33.517601013183594","212.42990112304688"
"ECOCHE","AVO","2014","10950","7588","0.6930000185966492",\N,"0.6000000238418579"
"ECOCHE","COW","2014","0","0",\N,\N,"0"
"ECOCHE","CPE","2014","18250","8835","0.48410001397132874",\N,"1"
"ECOCHE","MIL","2014","206225","64363","0.31209999322891235",\N,"11.300000190734863"
"ECOCHE","PER","2014","36500","14921","0.40880000591278076",\N,"2"
"ECOCHE","WHT","2014","18250","2880","0.15780000388622284",\N,"1"
